temperature,humidity,cloud_cover,historical_rainfall,heavy_rainfall_event
21.91,74.44,30.12,18.82,0
23.64,57.58,76.39,36.39,0
28.69,64.94,51.69,48.66,0
30.68,78.21,87.1,4.66,1
35.09,89.6,12.72,29.6,0
38.0,82.22,46.48,27.66,0
29.07,43.07,27.58,35.07,0
23.74,78.11,45.65,11.57,0
19.4,74.97,68.2,11.77,0
28.52,79.59,59.24,66.18,1
24.41,95.82,57.68,15.11,1
25.92,46.15,59.66,21.8,0
25.17,66.02,67.27,23.56,0
26.96,81.98,41.82,17.39,0
31.55,52.65,77.84,41.61,0
28.1,93.93,76.92,39.22,1
26.9,78.97,71.09,26.76,1
23.56,85.43,74.69,18.23,1
21.14,66.29,69.22,25.2,0
25.65,84.99,100.0,31.42,1
27.3,88.42,61.17,16.26,1
34.22,77.14,56.55,43.73,1
28.0,77.16,47.18,57.07,1
31.23,77.65,41.32,73.55,1
25.6,62.34,36.87,70.69,0
23.0,72.01,44.34,23.44,0
23.83,71.94,61.52,32.55,0
24.74,79.18,70.02,26.38,1
35.59,87.5,64.07,26.31,1
24.38,59.71,46.92,25.07,0
30.69,72.31,81.9,30.0,1
24.07,94.0,78.53,63.27,1
31.04,63.96,59.65,37.16,0
28.96,62.9,49.29,11.11,0
26.9,76.73,74.52,55.5,1
27.35,85.4,66.95,34.74,1
25.01,74.15,32.59,41.93,0
29.2,91.94,61.57,36.65,1
25.77,85.57,68.5,37.83,1
22.84,85.36,44.11,39.04,0
22.64,81.48,66.99,5.81,0
28.16,100.0,32.45,41.57,1
33.5,71.23,91.06,16.85,1
28.11,46.95,89.21,20.49,0
27.05,95.66,57.7,29.82,1
28.59,67.82,70.63,80.99,1
32.46,75.46,12.39,12.88,0
28.33,91.68,38.72,29.09,0
25.94,52.37,56.83,24.62,0
31.7,57.1,40.49,54.97,0
29.13,52.38,78.0,24.1,0
33.34,63.28,100.0,35.01,1
28.2,79.94,38.29,12.91,0
22.85,81.08,45.41,61.11,1
22.3,77.73,67.94,8.37,0
33.77,54.93,96.83,41.18,1
34.05,42.81,37.33,35.17,0
26.82,74.73,68.23,38.82,1
26.04,67.63,100.0,8.49,1
33.05,80.2,28.31,23.73,0
23.29,83.48,36.1,53.23,0
24.1,75.87,54.1,88.77,1
29.94,84.26,52.07,27.53,1
26.0,77.09,80.06,49.96,1
27.48,81.16,68.07,32.82,1
26.88,64.49,25.73,28.59,0
